Car_Loan_Application_ID,Requested_Amount_In_INR,Age,Applicant_Postal_Code,Car_Fullname,Loan_Term,Applicant_State_Desc,Applicant_City_Desc,Car_Loan_Application_Creation_Date,Car_Type,Cibil_Score,Car_Loan_Disbursed,IRR
46,395000,58.58,390011.0,Maruti - Swift Vdi,36.0,Gujrat,Baroda,2013-07-23 13:13:00,Compact,784.0,Yes,14.13
47,855000,46.08,391350.0,Mahindra - Scorpio,36.0,Gujrat,Baroda,2013-08-14 14:27:00,MUV,808.0,Yes,15.17
48,445000,37.92,390016.0,Volkswagan - Volkswagen Polo,36.0,Gujrat,Baroda,2013-08-17 18:46:00,Compact,802.0,No,19.8
49,258000,44.5,390002.0,Maruti - Swift Vxi,36.0,Gujrat,Baroda,2013-09-20 16:52:00,Compact,857.0,Yes,15.79
50,1160000,48.08,390023.0,Toyota - Fortuner 3.0 L,36.0,Gujrat,Baroda,2013-09-27 10:20:00,SUV,840.0,Yes,15.23
52,1494500,47.0,391101.0,Skoda - Skoda Laura,12.0,Gujrat,Baroda,2013-10-09 11:13:00,Premium-II,840.0,Yes,14.0
53,217000,42.58,390001.0,Maruti - Eeco,36.0,Gujrat,Baroda,2013-10-10 05:07:00,MUV,771.0,No,22.1
56,300000,36.17,390016.0,Tata Motors - T Indigo Manza Aq,36.0,Gujrat,Baroda,2013-10-28 07:55:00,Mid-Size,733.0,No,12.2
59,250000,23.25,390024.0,Tata Motors - Indica Vista,36.0,Gujrat,Baroda,2013-12-29 01:21:00,Compact,779.0,Yes,13.27
60,101000,35.5,390019.0,Maruti - Esteem Vxi,24.0,Gujrat,Baroda,2013-12-16 05:53:00,Compact,572.0,Yes,18.08
61,250000,43.67,390008.0,Mahindra - Mahindra Xylo Bs-4,48.0,Gujrat,Baroda,2013-12-17 03:28:00,Compact,810.0,No,12.6
62,223000,59.58,389350.0,Maruti - Maruti Wagon R,36.0,Gujrat,Halol,2013-12-20 10:13:00,Compact,817.0,No,23.6
63,4300000,48.42,391330.0,Land Rover - Freelander 2Se,36.0,Gujrat,Baroda,2014-07-07 18:46:00,SUV,661.0,Yes,17.77
64,250000,23.25,390024.0,Tata Motors - Indica Vista,36.0,Gujrat,Baroda,2013-12-29 02:34:00,Compact,779.0,No,16.8
65,270000,38.92,390022.0,Tata Motors - Indica Vista,36.0,Gujrat,Baroda,2013-12-30 10:30:00,Compact,803.0,Yes,18.55
66,167000,30.58,390001.0,Maruti - Wagon -R Vxi,36.0,Gujrat,Baroda,2014-01-02 13:12:00,Compact,675.0,No,26.0
67,250000,43.75,390008.0,Mahindra - Xylo E8,36.0,Gujrat,Baroda,2014-01-03 10:12:00,MUV,813.0,No,16.0
69,400000,57.92,390022.0,Mahindra - Bolero Di 2Wd,36.0,Gujrat,Baroda,2014-01-03 12:03:00,MUV,827.0,No,13.7
70,335000,38.5,390021.0,Tata Motors - Indica Vista A Tdi,36.0,Gujrat,Baroda,2014-01-06 12:42:00,Compact,737.0,Yes,15.55
72,500000,61.42,390019.0,Toyota - Toyota Liva Ed G,36.0,Gujrat,Baroda,2014-01-07 18:15:00,Compact,780.0,No,22.1
74,500000,46.08,390011.0,Honda - Honda City 1 5 Emt,36.0,Gujrat,Baroda,2014-01-18 18:10:00,Mid-Size,739.0,Yes,16.0
76,351000,34.92,390004.0,Ford - Ford Figo 1.2 Zxi,60.0,Gujrat,Baroda,2014-01-20 16:09:00,Compact,791.0,Yes,19.53
77,444000,48.5,390022.0,Volkswagan - Polo Highline 1.2,36.0,Gujrat,Baroda,2014-01-21 14:48:00,Compact,712.0,Yes,15.26
78,200000,24.08,390019.0,Tata Motors - Indica Vista,48.0,Gujrat,Baroda,2014-01-21 18:57:00,Compact,800.0,Yes,16.3
79,292000,36.58,390016.0,Maruti - Alto K 10 Lxi,60.0,Gujrat,Baroda,2014-01-22 16:48:00,Compact,740.0,Yes,18.77
80,210000,36.58,390008.0,Maruti - Wagon R Deo Lxi,36.0,Gujrat,Baroda,2014-01-28 19:25:00,Compact,741.0,No,26.0
81,365000,32.42,390007.0,Hyundai - Verna Crdi Vgt,60.0,Gujrat,Baroda,2014-01-30 14:09:00,Mid-Size,741.0,Yes,18.17
82,104000,42.67,390015.0,Chevrolet - Chevy Spark 1.0 Ps,36.0,Gujrat,Baroda,2014-02-03 17:54:00,Compact,-1.0,No,16.4
83,4600000,44.33,390021.0,Mercedez Benz - Merc Benz C220 Cdi,60.0,Gujrat,Baroda,2014-02-12 18:53:00,Premium-II,808.0,Yes,18.55
84,587000,51.92,390019.0,Maruti - Ritzldi,48.0,Gujrat,Baroda,2014-02-19 16:08:00,Compact,817.0,No,15.7
85,404000,43.25,390019.0,Tata Motors - Safari Lx 2.2,32.0,Gujrat,Baroda,2014-02-21 17:41:00,MUV,800.0,No,24.4
86,921000,65.58,390020.0,Maruti - Maruti Suzuki Ertiga,36.0,Gujrat,Baroda,2014-02-22 14:09:00,Mid-Size,605.0,Yes,18.34
88,589000,54.5,390001.0,Mahindra - Mahindra Xylo E6,48.0,Gujrat,Baroda,2014-02-26 10:31:00,MUV,758.0,No,14.4
89,465000,33.42,390007.0,Maruti - Swiftldi,36.0,Gujrat,Baroda,2014-02-28 14:13:00,Compact,786.0,Yes,18.06
91,670000,29.5,390021.0,Skoda - Skoda Laura At 2.0,60.0,Gujrat,Baroda,2014-03-15 14:13:00,Premium-I,703.0,No,17.1
92,485000,41.75,390010.0,Maruti - Swift Dezire Vxi,60.0,Gujrat,Vadodara,2014-03-19 18:44:00,Mid-Size,819.0,Yes,18.49
93,172000,39.08,390016.0,Maruti - Alto K 10 Lxi,36.0,Gujrat,Baroda,2014-03-21 15:37:00,Compact,731.0,Yes,15.82
94,769000,46.42,390010.0,Skoda - Laura Amb 2.0 Tdi,36.0,Gujrat,Baroda,2014-03-21 16:31:00,Premium-I,791.0,Yes,17.66
95,425000,24.5,390021.0,Mahindra - Scorpio Vlx,60.0,Gujrat,Baroda,2014-03-24 17:05:00,MUV,809.0,No,26.5
97,740000,31.33,390011.0,Nissan - Sunny  Xl Cvt At,36.0,Gujrat,Baroda,2014-03-26 14:36:00,Mid-Size,788.0,Yes,18.37
98,700000,46.75,390002.0,Chevrolet - Chevrolet Cruze,48.0,Gujrat,Baroda,2014-03-29 12:02:00,Executive,667.0,No,24.5
100,278000,58.83,390004.0,Skoda - Fabia Amb 1.2,36.0,Gujrat,Baroda,2014-04-02 14:58:00,Mid-Size,572.0,No,26.0
101,360000,59.17,389350.0,Maruti - Swift Vdi,36.0,Gujrat,Halol,2014-04-11 11:12:00,Compact,638.0,No,26.5
102,215000,53.83,390019.0,Chevrolet - Beat 1.2 Ls,36.0,Gujrat,Baroda,2014-04-11 15:47:00,Compact,801.0,Yes,18.38
103,350000,28.75,390021.0,Hyundai - Accent Gls,48.0,Gujrat,Baroda,2014-04-11 20:06:00,Mid-Size,709.0,Yes,18.89
104,715000,54.0,390012.0,Volkswagan - Vento 1.6 At,36.0,Gujrat,Baroda,2014-04-15 16:34:00,Mid-Size,794.0,Yes,15.92
105,250000,65.83,391110.0,Maruti - Swift Vdi,48.0,Gujrat,Dabhoi,2014-04-19 19:28:00,Compact,752.0,No,18.6
106,175000,29.25,390015.0,Maruti - Alto Lxi,48.0,Gujrat,Baroda,2014-04-19 19:40:00,Compact,546.0,No,15.3
107,500000,56.83,389350.0,Maruti - Swift Dzire Vdi,48.0,Gujrat,Halol,2014-04-21 18:11:00,Mid-Size,792.0,Yes,18.57
109,350000,47.75,390010.0,Honda - Honda Jazz 1.2,36.0,Gujrat,Baroda,2014-04-26 11:47:00,Mid-Size,741.0,No,12.5
110,302000,29.83,391340.0,Hyundai - I 10 Sportz,36.0,Gujrat,Baroda,2014-04-28 11:36:00,Compact,-1.0,Yes,19.27
111,420000,32.83,390019.0,Maruti - Swift Dzire Zdi,36.0,Gujrat,Baroda,2014-05-03 13:26:00,Mid-Size,832.0,No,15.3
112,350000,42.75,390021.0,Hyundai - Hyundai I 10,60.0,Gujrat,Baroda,2014-05-08 14:53:00,Compact,563.0,No,18.2
113,2500000,47.67,390002.0,Bmw - Bmw Xi 20D Hl,60.0,Gujrat,Baroda,2014-05-13 18:29:00,Premium-II,788.0,Yes,17.89
114,325000,26.42,390019.0,Maruti - Swift Dezire Vxi,36.0,Gujrat,Baroda,2014-05-15 14:45:00,Mid-Size,815.0,No,17.9
115,125000,31.75,390010.0,Maruti - Swift,24.0,Gujrat,Baroda,2014-05-22 18:24:00,Compact,825.0,Yes,18.85
117,200000,43.17,391775.0,Maruti - Swift Dzire Vdi,36.0,Gujrat,Baroda,2014-05-23 16:40:00,Mid-Size,-1.0,Yes,18.86
118,700000,24.42,390002.0,Skoda - Skoda Laura,60.0,Gujrat,Baroda,2014-05-23 17:50:00,Premium-I,760.0,No,23.6
119,576000,36.5,390023.0,Volkswagan - Polo Highline 1.2,60.0,Gujrat,Baroda,2014-05-26 12:39:00,Compact,741.0,Yes,17.52
121,200000,22.33,390023.0,Tata Motors - Indica Vista A Tdi,36.0,Gujrat,Baroda,2014-05-29 10:02:00,Compact,769.0,No,15.6
122,2000000,57.17,390007.0,Toyota - Fortuner 4 Wd,60.0,Gujrat,Baroda,2014-06-05 16:52:00,SUV,848.0,No,22.5
124,302000,30.83,390002.0,Maruti - Astarlxi,48.0,Gujrat,Baroda,2014-06-19 10:18:00,Compact,776.0,No,18.8
125,225000,31.1,390020.0,Tata Motors - Indigo Cs Ls Tcici,30.0,Gujrat,Vadodara,2014-06-19 11:03:00,Mid-Size,769.0,Yes,19.01
126,230000,45.17,390011.0,Tata Motors - Indica Vista,30.0,Gujrat,Baroda,2014-06-19 17:08:00,Compact,713.0,Yes,18.28
127,900000,51.58,390020.0,Hyundai - Verna Crdi Sx,60.0,Gujrat,Baroda,2014-06-20 10:44:00,Mid-Size,812.0,No,19.1
128,400000,30.1,390018.0,Maruti - Swift Vxi,60.0,Gujrat,Baroda,2014-06-20 15:44:00,Compact,780.0,No,12.6
129,1000000,44.9,390007.0,Toyota - Innova 2.5 Aqm,60.0,Gujrat,Baroda,2014-06-25 11:06:00,MUV,694.0,No,15.7
132,350000,21.0,390018.0,Maruti - Sx4Vxi,35.0,Gujrat,Baroda,2014-06-28 11:29:00,Mid-Size,791.0,Yes,18.91
133,400000,29.12,390019.0,Volkswagan - Vento 1.6 Trend Mt,60.0,Gujrat,Baroda,2014-07-02 14:27:00,Mid-Size,-1.0,No,17.7
135,300000,26.1,390016.0,Maruti - Sx4Vxi,32.0,Gujrat,Baroda,2014-07-10 18:58:00,Mid-Size,808.0,Yes,19.24
137,350000,23.33,390021.0,Ford - Ford Fiesta 1.4,60.0,Gujrat,Baroda,2014-07-14 17:53:00,Mid-Size,-1.0,Yes,17.9
138,255000,55.92,390002.0,Tata Motors - Indica Vista A Tdi,36.0,Gujrat,Baroda,2014-07-16 10:06:00,Compact,774.0,Yes,15.68
139,100000,27.5,390001.0,Hyundai - Verna Vgt Sx,60.0,Gujrat,Baroda,2014-07-16 09:52:00,Mid-Size,713.0,No,24.5
140,500000,45.12,390002.0,Volkswagan - Polo 1.2 Comfort,36.0,Gujrat,Baroda,2014-07-21 15:38:00,Compact,620.0,Yes,18.62
141,800000,36.11,387370.0,Maruti - Swift Dzire Vdi,60.0,Gujrat,Nadiad,2014-07-24 14:26:00,Mid-Size,734.0,Yes,18.5
142,350000,32.9,390021.0,Tata Motors - Indica Vista A Tdi,60.0,Gujrat,Baroda,2014-07-25 14:16:00,Compact,539.0,No,15.4
143,423000,49.1,390011.0,Hyundai Verna Fluidic 1.6 Vtvt Sx,60.0,Gujrat,Baroda,2014-08-05 18:32:00,Mid-Size,759.0,No,16.7
144,185000,52.83,390019.0,Maruti Suzuki Wagon R 1.0 Lxi,60.0,Gujrat,Baroda,2014-08-12 12:54:00,Compact,766.0,Yes,17.32
145,5400000,48.5,391330.0,Land Rover Range Rover Evoque Prestige Sd4,36.0,Gujrat,Baroda,2014-08-21 14:35:00,Premium-II,776.0,No,18.4
146,334000,38.67,390022.0,Tata Indica Vista Ls Quadrajet Bs Iv,60.0,Gujrat,Baroda,2014-08-28 14:57:00,Compact,-1.0,Yes,18.44
147,250000,25.92,390020.0,Maruti Suzuki Ritz Vdi Bs-Iv,60.0,Gujrat,Vadodara,2014-09-03 13:52:00,Compact,-1.0,Yes,18.25
148,300000,56.75,390018.0,Hyundai Santro Xing Gls Lpg,48.0,Gujrat,Vadodara,2014-09-12 16:40:00,Compact,781.0,No,24.0
149,450000,31.1,391440.0,Toyota Innova 2.5 Zx 7 Str Bs-Iii,36.0,Gujrat,Padra,2014-09-15 17:31:00,MUV,792.0,No,19.5
151,299000,37.25,390022.0,Tata Indica Vista Ls Tdi Bs-Iii,36.0,Gujrat,Vadodara,2014-09-16 18:27:00,Compact,804.0,Yes,16.14
152,400000,35.2,390016.0,Tata Safari 4X2 Ex Dicor Bs-Iv,36.0,Gujrat,Vadodara,2014-09-23 11:53:00,MUV,498.0,Yes,19.03
154,225000,31.7,389350.0,Ford Figo Duratorq Diesel Zxi 1.4,60.0,Gujrat,Halol,2014-09-24 12:24:00,Compact,-1.0,Yes,17.21
155,414000,47.58,391330.0,Volkswagen Polo Trendline 1.2L (P),60.0,Gujrat,Vadodara,2014-09-27 14:06:00,Compact,791.0,Yes,19.3
156,400000,39.12,389350.0,Maruti Suzuki Swift Dzire Vxi,60.0,Gujrat,Halol,2014-09-27 19:45:00,Mid-Size,564.0,No,14.4
157,1100000,50.12,390003.0,Audi A4 1.8 Tfsi Multitronic,36.0,Gujrat,Vadodara,2014-09-29 14:04:00,Premium-II,820.0,Yes,16.48
159,340000,36.1,390018.0,Maruti Suzuki Estilo Lxi Bs-Iv,60.0,Gujrat,Vadodara,2014-10-09 12:41:00,Compact,684.0,Yes,17.9
161,363000,45.17,390002.0,Maruti Suzuki Ertiga Vxi,36.0,Gujrat,Vadodara,2014-10-09 19:18:00,Mid-Size,586.0,Yes,15.37
162,300000,38.92,390020.0,Tata Indica Vista Ls Tdi Bs-Iii,36.0,Gujrat,Vadodara,2014-10-10 03:35:00,Compact,791.0,Yes,16.77
163,190000,37.1,390009.0,Maruti Suzuki Wagon R 1.0 Vxi,36.0,Gujrat,Vadodara,2014-10-14 11:42:00,Compact,777.0,No,18.4
164,302000,28.1,390002.0,Maruti Suzuki Wagon R 1.0 Lxi,60.0,Gujrat,Vadodara,2014-10-14 01:40:00,Compact,-1.0,Yes,17.96
165,352351,31.08,390023.0,Hyundai Verna Fluidic 1.4 Crdi Gl,34.0,Gujrat,Vadodara,2014-10-15 06:47:00,Mid-Size,822.0,Yes,19.29
166,302000,30.2,390001.0,Maruti Suzuki Wagon R 1.0 Lxi Cng,60.0,Gujrat,Vadodara,2014-10-16 02:03:00,Compact,779.0,Yes,11.96
167,250000,54.3,390008.0,Hyundai I10 Magna 1.1 Lpg,60.0,Gujrat,Vadodara,2014-10-31 02:52:00,Compact,772.0,No,21.7
169,774000,42.42,390005.0,Skoda Yeti Ambition 2.0 Tdi Cr 4X4,60.0,Gujrat,Vadodara,2014-11-04 14:00:00,SUV,617.0,No,26.5
170,500000,28.12,390011.0,Maruti Suzuki Ertiga Vdi,36.0,Gujrat,Vadodara,2014-11-06 15:39:00,Mid-Size,833.0,No,17.0
171,200000,30.83,390017.0,Tata Indica Vista Lx Tdi Bs-Iii,30.0,Gujrat,Vadodara,2014-11-10 10:11:00,Compact,800.0,Yes,18.42
172,400000,42.58,390019.0,Mahindra Xylo H8 Abs Bs Iv,36.0,Gujrat,Vadodara,2014-11-14 02:00:00,MUV,706.0,No,18.3
173,475000,24.42,390023.0,Hyundai I20 Magna (O) 1.2,60.0,Gujrat,Vadodara,2014-11-14 04:41:00,Mid-Size,782.0,No,14.3
174,172000,36.92,390018.0,Tata Indica Vista D90 Zx+ Bs Iv,36.0,Gujrat,Vadodara,2014-11-14 05:57:00,Compact,831.0,Yes,18.24
175,150000,36.7,390012.0,Chevrolet Spark Lt 1.0 Bs-Iv Obdii,28.0,Gujrat,Vadodara,2014-11-14 06:16:00,Compact,815.0,No,16.8
176,400000,32.4,390007.0,Volkswagen Polo Highline1.2L (P),60.0,Gujrat,Vadodara,2014-11-18 10:24:00,Compact,552.0,No,11.7
177,882000,57.42,390019.0,Toyota Innova 2013 2.5 Vx 8 Str Bs-Iii,60.0,Gujrat,Vadodara,2014-11-18 01:10:00,MUV,844.0,No,19.3
179,1000000,41.08,390016.0,Toyota Innova 2013 2.5 Ev Ps 8 Str Bs-Iv,36.0,Gujrat,Vadodara,2014-11-20 07:23:00,MUV,783.0,Yes,15.19
180,421000,64.17,390016.0,Toyota Innova 2013 2.5 Gx 7 Str Bs-Iv,48.0,Gujrat,Vadodara,2014-12-20 03:39:00,Mid-Size,-1.0,No,18.8
183,1500000,29.0,390007.0,Audi A4 2.0 Tdi (143Bhp),60.0,Gujrat,Vadodara,2014-11-22 10:51:00,Premium-II,777.0,Yes,14.21
184,450000,29.5,390016.0,Toyota Innova 2013 2.5 Ev Ps 8 Str Bs-Iv,36.0,Gujrat,Vadodara,2014-11-24 01:52:00,MUV,762.0,No,22.1
185,300000,30.11,390011.0,Chevrolet Tavera Neo 3 Lt- 7(C) Str Bs-Iii,36.0,Gujrat,Vadodara,2014-11-24 04:48:00,MUV,527.0,No,15.5
187,350000,38.33,390023.0,Tata Manza Gvx,60.0,Gujrat,Vadodara,2014-12-04 18:22:00,Mid-Size,765.0,Yes,18.7
188,800000,39.7,390019.0,Honda Mobilio 1.5 Smt,60.0,Gujrat,Vadodara,2014-12-08 12:59:00,MUV,734.0,No,25.7
189,5000000,50.6,390007.0,Porsche Cayenne Turbo S,60.0,Gujrat,Vadodara,2014-12-08 14:35:00,Premium-II,738.0,No,22.9
190,500000,33.2,390019.0,Maruti Suzuki Swift Zdi,60.0,Gujrat,Vadodara,2014-12-09 11:59:00,Compact,549.0,No,22.3
191,250000,29.5,390014.0,Hyundai Verna Fluidic 1.4 Crdi Cx,36.0,Gujrat,Vadodara,2014-12-09 16:57:00,Mid-Size,734.0,No,18.1
192,150000,31.1,390008.0,Maruti Suzuki Alto 800 Lxi (Airbag),57.0,Gujrat,Vadodara,2014-12-10 12:30:00,Compact,-1.0,No,20.7
193,1100000,44.4,390015.0,Chevrolet Captiva Lt,36.0,Gujrat,Vadodara,2014-12-16 11:07:00,SUV,619.0,Yes,17.41
194,500000,41.58,390022.0,Volkswagen Polo Comfortline 1.2L (D),60.0,Gujrat,Vadodara,2014-12-16 12:02:00,Compact,765.0,No,21.4
195,1800000,21.11,391110.0,Mitsubishi Pajero Sport 2.5 Mt,60.0,Gujrat,Dabhoi,2014-12-16 05:54:00,SUV,758.0,No,26.2
197,650000,31.75,390004.0,Chevrolet Enjoy 1.3 Ltz 7 Str,60.0,Gujrat,Vadodara,2014-12-17 10:07:00,MUV,789.0,No,21.0
198,1000000,48.1,390011.0,Mahindra Xuv500 W8 Awd,60.0,Gujrat,Vadodara,2014-12-17 12:26:00,SUV,859.0,No,22.0
199,550000,35.8,390019.0,Maruti Suzuki Swift Zdi,36.0,Gujrat,Vadodara,2014-12-18 12:26:00,Compact,521.0,Yes,21.41
200,110000,26.8,390006.0,Maruti Suzuki Wagon R 1.0 Lxi,36.0,Gujrat,Vadodara,2014-12-18 07:22:00,Compact,798.0,No,14.1
201,300000,30.1,391520.0,Maruti Suzuki Eeco 5 Str With A/C+Htr Cng,60.0,Gujrat,Vadodara,2014-12-19 02:10:00,MUV,785.0,No,15.5
203,350000,34.12,390023.0,Honda City Vx Diesel,29.0,Gujrat,Vadodara,2014-12-23 11:27:00,Mid-Size,-1.0,No,17.7
205,800000,60.25,391761.0,Chevrolet Tavera Neo 3 Lt- 9 Str Bs-Iii,60.0,Gujrat,Vadodara,2014-12-23 10:53:00,MUV,785.0,Yes,18.74
207,800000,39.33,390020.0,Skoda Octavia Elegance 2.0 Tdi Cr At,16.0,Gujrat,Vadodara,2014-12-24 03:37:00,Executive,588.0,No,26.5
208,279000,40.0,390016.0,Tata Indica Vista Ls Tdi Bs-Iii,36.0,Gujrat,Vadodara,2014-12-27 03:32:00,Compact,802.0,No,17.5
209,700000,54.17,390007.0,Mitsubishi Pajero Sport 2.5 Mt,24.0,Gujrat,Vadodara,2014-12-27 03:58:00,SUV,837.0,Yes,15.97
211,1100000,66.1,390020.0,Mitsubishi Montero 3.2 Di-D Mt,12.0,Gujrat,Vadodara,2014-12-27 05:22:00,SUV,625.0,No,20.5
212,250000,33.12,390002.0,Toyota Innova 2013 2.5 Vx 8 Str Bs-Iv,36.0,Gujrat,Vadodara,2015-01-03 13:58:00,Mid-Size,783.0,Yes,18.48
213,900000,41.17,390021.0,Volkswagen Vento Highline Petrol At,60.0,Gujrat,Vadodara,2015-01-05 16:51:00,Mid-Size,765.0,Yes,16.21
214,500000,24.25,391220.0,Maruti Suzuki Swift Vxi,36.0,Gujrat,Vadodara,2015-01-05 17:28:00,Compact,-1.0,No,18.2
216,500000,55.7,391410.0,Volkswagen Polo Highline1.2L (P),60.0,Gujrat,Vadodara,2015-01-08 13:27:00,Compact,802.0,Yes,17.46
217,700000,50.7,391210.0,Volkswagen Vento Highline Petrol,60.0,Gujrat,Vadodara,2015-01-20 19:40:00,Mid-Size,570.0,No,16.4
218,550000,39.1,390019.0,Toyota Innova 2013 2.5 Gx 7 Str Bs-Iii,36.0,Gujrat,Vadodara,2015-01-23 11:42:00,Mid-Size,807.0,No,14.9
219,1000000,42.8,390008.0,Honda Amaze 1.5 Exmt I-Dtec,60.0,Gujrat,Vadodara,2015-01-27 13:02:00,Mid-Size,-1.0,No,12.4
220,2500000,49.7,390007.0,Mitsubishi - Outlander,60.0,Gujrat,Vadodara,2015-01-27 15:30:00,SUV,769.0,No,11.9
221,600000,31.25,390019.0,Toyota Innova 2.5 G 8 Str Bs-Iv,36.0,Gujrat,Vadodara,2015-01-28 10:35:00,Mid-Size,813.0,No,26.1
222,550000,40.4,390022.0,Maruti Suzuki Swift Dzire Vdi,60.0,Gujrat,Vadodara,2015-01-30 14:43:00,Mid-Size,707.0,No,23.9
223,700000,27.5,391210.0,Volkswagen Vento Highline Petrol,60.0,Gujrat,Vadodara,2015-02-04 12:11:00,Mid-Size,735.0,No,22.1
225,200000,39.42,390016.0,Chevrolet Enjoy 1.3 Ltz 7 Str,60.0,Gujrat,Vadodara,2015-02-07 13:28:00,MUV,824.0,Yes,16.87
226,1900000,52.67,390007.0,Honda Cr-V 2.0L 2Wd At,36.0,Gujrat,Vadodara,2015-02-10 17:55:00,SUV,727.0,Yes,13.76
227,600000,32.12,391220.0,Skoda Yeti Ambition 2.0 Tdi Cr 4X4,60.0,Gujrat,Dabhoi,2015-02-12 13:08:00,SUV,787.0,Yes,17.58
228,700000,46.9,390007.0,Tata Safari Storme 2.2 Ex 4X2,48.0,Gujrat,Vadodara,2015-02-13 18:02:00,MUV,596.0,Yes,18.98
229,600000,33.0,390016.0,Toyota Innova 2013 2.5 Gx 8 Str Bs-Iii,34.0,Gujrat,Vadodara,2015-02-13 19:09:00,Mid-Size,800.0,No,11.7
230,200000,32.42,390016.0,Tata Indica Vista Ls Tdi Bs-Iii,30.0,Gujrat,Vadodara,2015-02-21 16:44:00,Compact,758.0,No,11.5
231,300000,41.75,390021.0,Hyundai I20 Magna (O) 1.2,48.0,Gujrat,Vadodara,2015-02-21 17:35:00,Mid-Size,803.0,No,21.5
232,400000,39.5,390019.0,Honda Amaze 1.5 Vxmt I-Dtec,36.0,Gujrat,Vadodara,2015-02-24 17:45:00,Mid-Size,673.0,Yes,19.32
233,600000,47.8,390018.0,Ford Fiesta Titanium+ Petrol,48.0,Gujrat,Baroda,2015-02-26 20:03:00,Mid-Size,826.0,Yes,17.53
234,416000,36.1,390016.0,Nissan Sunny Xv,36.0,Gujrat,Vadodara,2015-02-27 12:11:00,Mid-Size,774.0,No,11.5
236,300000,27.1,390022.0,Maruti Suzuki Wagon R 1.0 Lxi Cng,60.0,Gujrat,Baroda,2015-03-02 14:31:00,Compact,779.0,No,18.5
237,350000,28.33,390001.0,Tata Indigo Ecs Ls Tdi Bs-Iii,54.0,Gujrat,Bharuch,2015-03-03 10:15:00,Mid-Size,733.0,Yes,17.03
238,425000,43.8,390002.0,Maruti Suzuki Ritz Vxi Bs-Iv,36.0,Gujrat,Vadodara,2015-03-03 12:52:00,Compact,661.0,No,19.8
239,991000,36.33,390001.0,Hyundai Verna Fluidic 1.6 Crdi Sx At,60.0,Gujrat,Vadodara,2015-03-03 15:20:00,Mid-Size,789.0,No,26.1
240,500000,49.17,390010.0,Mahindra Scorpio Vlx 2Wd Bs-Iii,45.0,Gujrat,Baroda,2015-03-05 12:21:00,MUV,728.0,No,12.8
241,250000,40.8,390001.0,Tata Indica Vista Ls Tdi Bs-Iii,36.0,Gujrat,Vadodara,2015-03-07 15:51:00,Compact,730.0,No,21.9
242,250000,54.33,390004.0,Maruti Suzuki Alto 800 Lxi,36.0,Gujrat,Vadodara,2015-03-09 15:03:00,Compact,656.0,No,17.7
243,220000,30.5,390021.0,Volkswagen Polo Trendline 1.2L (P),48.0,Gujrat,Baroda,2015-03-11 14:06:00,Compact,614.0,Yes,18.06
